experiment_reldir,diameter(mm)
12.700mm/0,12.7
12.700mm/1,12.7
12.700mm/2,12.7
12.700mm/3,12.7
12.700mm/4,12.7
12.700mm/5,12.7
12.700mm/6,12.7
12.700mm/7,12.7
12.700mm/8,12.7
12.700mm/9,12.7
12.700mm/10,12.7
12.700mm/11,12.7
12.700mm/12,12.7
12.700mm/13,12.7
12.700mm/14,12.7
12.700mm/15,12.7
12.700mm/16,12.7
12.700mm/17,12.7
12.700mm/18,12.7
12.700mm/19,12.7
12.700mm/20,12.7
12.700mm/21,12.7
12.700mm/22,12.7
12.700mm/23,12.7
12.700mm/24,12.7
12.700mm/25,12.7
12.700mm/26,12.7
9.500mm/0,9.5
9.500mm/1,9.5
9.500mm/2,9.5
9.500mm/3,9.5
9.500mm/4,9.5
9.500mm/5,9.5
9.500mm/6,9.5
9.500mm/7,9.5
9.500mm/8,9.5
9.500mm/9,9.5
9.500mm/10,9.5
9.500mm/11,9.5
9.500mm/12,9.5
9.500mm/13,9.5
9.500mm/14,9.5
9.500mm/15,9.5
9.500mm/16,9.5
9.500mm/17,9.5
9.500mm/18,9.5
9.500mm/19,9.5
9.500mm/20,9.5
9.500mm/21,9.5
9.500mm/22,9.5
9.500mm/23,9.5
9.500mm/24,9.5
9.500mm/25,9.5
9.500mm/26,9.5
